Date,Close,High,Low,Open,Volume,Fraud_Prediction
,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,
2024-01-01,817.18408203125,822.501745383136,814.248564086915,820.9858453500456,14239686,1
2024-01-02,817.6653442382812,819.4459467365167,812.6604948092896,817.5210091672456,29242092,1
2024-01-03,805.0570068359375,820.3602248882017,803.1560957864252,819.0609155587073,28389762,1
2024-01-04,813.6951293945312,815.6681785787191,803.9982450111478,807.5112794385394,26734056,1
2024-01-05,809.532470703125,820.4565266478944,802.7470775249917,811.9146161901213,31889470,1
2024-01-08,800.5093383789062,809.6046802786657,798.8491031983458,807.7519395894117,17998470,1
2024-01-09,794.27734375,807.4150658144946,792.4727148259997,802.2899079214475,25326888,1
2024-01-10,796.9000854492188,798.8250230595258,789.8981601383872,790.6681234336232,16115824,1
2024-01-11,793.5554809570312,800.2446504896061,790.6680747194678,798.849059059231,18314010,1
2024-01-12,789.8018798828125,796.9241725556,786.1445101634489,794.9992349407313,19773552,1
2024-01-15,805.0089111328125,808.9068979431344,790.9568316974018,792.9298809476207,28320356,1
2024-01-16,808.0647583007812,810.2303131109433,797.9347506354721,805.1051549780065,25322500,1
2024-01-17,739.8978881835938,768.43511153131,735.5186669032313,755.5380061451982,170145236,1
2024-01-18,715.1865234375,729.0701242864104,712.2510053130225,718.9642017715493,161070930,1
2024-01-19,707.7273559570312,726.7842257439573,706.6445785970419,724.7148944026496,109600538,1
2024-01-23,686.889892578125,709.6763291214472,685.7590035141985,705.0083790514392,115469402,1
2024-01-24,700.6292114257812,701.8563239634287,664.2238154090479,664.2238154090479,86004404,1
2024-01-25,690.5232543945312,701.3269432093891,683.0641211720018,698.9929681112263,98941852,1
2024-01-29,700.0276489257812,703.9497211311298,695.7687361299218,696.8515135565522,65645498,1
2024-01-30,695.046875,704.1421582636731,693.4106662732639,699.97952765381,41728768,1
2024-01-31,703.8294067382812,709.7966664004084,691.4376207354485,692.7369301389425,65761040,1
2024-02-01,705.6580200195312,709.1469692678833,700.7013411616346,705.0324505733819,32690740,1
2024-02-02,695.9371337890625,712.6359438388424,693.9640845135984,709.820734370058,44867754,1
