Date,Close,High,Low,Open,Volume,Fraud_Prediction
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2024-03-18,4043.4365234375,4143.000974857484,4009.6966846246737,4104.538423942185,1526904,1
2024-03-19,3872.837890625,3951.418290603149,3862.4189692920513,3944.8455765909334,8931209,1
2024-03-20,3866.605712890625,3912.4687442321783,3856.1867919038723,3881.309212172589,1817913,1
2024-03-21,3868.60205078125,3903.1209235304927,3844.3073998400932,3885.2530213886234,3829582,1
2024-03-22,3808.181640625,3834.5699647781776,3753.7499274301354,3794.646813799024,5852485,1
2024-03-26,3775.658935546875,3843.041376290008,3769.7677889528313,3773.2245970971353,3440925,1
2024-03-27,3740.020263671875,3792.6994447610605,3728.8223063895252,3786.3701645579936,1968575,1
2024-03-28,3774.490966796875,3812.1744831071983,3739.6311883456437,3748.97914423849,4311783,1
2024-04-01,3813.878173828125,3829.9935424376545,3785.9320150576273,3795.328466689312,1569676,1
2024-04-02,3781.793701171875,3807.1595566059486,3771.277311008361,3787.8308132771813,2142666,1
2024-04-03,3843.625732421875,3876.4405673478477,3749.8549673088573,3749.8549673088573,3973090,1
2024-04-04,3898.1552734375,3922.839325084273,3831.892526838057,3871.4747787935144,3394637,1
2024-04-05,3874.73681640625,3896.8892980480778,3856.479276591557,3873.5196470852707,1636819,1
2024-04-08,3868.212890625,3926.7342497611535,3855.9924629253546,3878.3883787453756,2302538,1
2024-04-09,3842.895751953125,3910.3756673113057,3821.9604394283224,3879.3620976192556,1876992,1
2024-04-10,3879.99462890625,3885.3989078695354,3815.0952602167276,3852.486604122911,2101965,1
2024-04-12,3896.3046875,3907.941015572423,3841.8729743875037,3866.703226788183,4354821,1
2024-04-15,3837.685546875,3957.4549897131565,3816.117404902394,3896.304364848493,4200329,1
2024-04-16,3771.08251953125,3825.5142335144715,3761.3938998087315,3799.515545777659,3051420,1
2024-04-18,3760.56640625,3832.62283143449,3748.881580544407,3774.9777388325756,3476284,1
2024-04-19,3725.706298828125,3751.3643214263843,3701.0707459342584,3737.1964239670265,2957749,1
2024-04-22,3763.09814453125,3776.1461045717333,3711.8795643701515,3736.2229508101445,1728883,1
2024-04-23,3772.9326171875,3792.699493931328,3759.2030902829515,3775.2209905357795,1807586,1
2024-04-24,3730.42919921875,3795.620739280783,3724.0024502332853,3787.830855772767,1317312,1
2024-04-25,3751.023681640625,3771.9102596572366,3710.9058283393892,3711.1005278852026,2856271,1
2024-04-26,3720.98388671875,3774.977467405439,3702.6776135505615,3753.8959532403615,2039178,1
2024-04-29,3768.551025390625,3775.9515101658,3718.8905156702613,3737.1967903285436,1110693,1
2024-04-30,3720.30224609375,3779.797577086431,3709.9320586589297,3770.3036564638783,2203078,1
2024-05-02,3761.832275390625,3769.4274595752354,3678.8213268689515,3678.8213268689515,2491044,1
2024-05-03,3742.454833984375,3791.336545070348,3697.857939358929,3787.976967494884,2962234,1
2024-05-06,3818.0654296875,3836.468934581478,3751.802684840144,3751.802684840144,2053831,1
2024-05-07,3874.444580078125,3883.256933352698,3810.7136430982405,3827.559313749985,2062112,1
2024-05-08,3872.4970703125,3879.6541208134627,3835.1544592136574,3856.9660377516016,1247685,1
2024-05-09,3856.187255859375,3866.7036467404337,3807.354515925793,3857.9400272942835,1726486,1
2024-05-10,3791.628173828125,3869.235075285604,3783.0107581868297,3858.523985900126,1672489,1
2024-05-13,3844.11279296875,3851.1236405461927,3768.3561286760473,3782.4752924656605,931326,1
2024-05-14,3798.736328125,3842.1650201493158,3790.6542771142235,3832.622366102677,1058317,1
2024-05-15,3778.482666015625,3823.810095410986,3773.7114577543716,3801.949783718732,1115021,1
2024-05-16,3826.101318359375,3834.487314976301,3769.7536756903473,3816.440456776042,2599399,1
2024-05-17,3760.5341796875,3844.7858973181783,3756.5127517164856,3843.805084589271,2765804,1
2024-05-21,3746.90087890625,3770.9798801907446,3736.94572511883,3757.1014753412887,1908117,1
2024-05-22,3758.474365234375,3767.5468829479496,3744.301669237929,3761.4168034117506,1311168,1
2024-05-23,3818.744873046875,3830.0733067750566,3752.0987029623507,3767.2522101516915,2095742,1
2024-05-24,3775.638427734375,3809.2803506928462,3770.538249667906,3803.8367924044264,1309452,1
